Id,UserId,Text,Domain
1.58073E+18,1.4403E+18,#Visa is launching #crypto debit cards in over 40 countries in partnership with #FTX. $BTC #bitcoin #cryptocurrency,Stocks
1.58073E+18,90567496,RT @TheMoonCarl: #BITCOIN WILL MOVE BIG WITHIN 3 DAYS!!! 🚀,Digital Assets & Crypto
1.58073E+18,1.55934E+18,@cryptojack #ATH #bscgems #bscgem #cryptocurrency #altcoin #ownblockchain #cryptocurrency #Crypto #bitcoin    #altcoins #metaverse #nft #blockchain #vr #alveychain #Alvey #layer1 buy and hold walv for long term. This project is legit like btc/eth in early stage. https://t.co/3ifTx0uBJq,Technology
1.58073E+18,1.42141E+18,"RT @Vforrkripto: #Bitcoin yükselirken değil düşünce altcoinler çıkıyor diye boşuna demedim. 

Yarın bazı altcoinlerin yükseldiğini görebili…",Digital Assets & Crypto
1.58073E+18,10162322,"RT @BitcoinNewslet1: #Bitcoin is $50,000 off its all-time high, and I'm still obsessed with it.",Digital Assets & Crypto
1.58073E+18,7.86039E+17,Forget the stock market. All in on #bitcoin! Or you could always dump all of Chemtura Corp. $CHMT #ProTip,Digital Assets & Crypto
1.58073E+18,1.1924E+18,"RT @0xSkip: 🔥 $1000 GIVEAWAY!!! 🔥

To celebrate hitting 100K followers recently, I’ll be giving away $1000 in #BNB!

👉🏻To enter:
✅ Like &amp; R…",Digital Assets & Crypto
1.58073E+18,1.26173E+18,"RT @WSzamosszegi: When people ask me why #Bitcoin, I offer them this chart in verbal terms: https://t.co/Nkeu0U9NBy",Digital Assets & Crypto
1.58073E+18,1.24211E+18,RT @BTC_Archive: Bitcoin is actually up today bro 😎 https://t.co/FB9jJhMAbI,Digital Assets & Crypto
1.58073E+18,9.80467E+17,NFTs will be ‘as disruptive’ as Bitcoin was 10 years ago — Kraken exec https://t.co/l2uiXGlBSw  $BTC.X $ETH.X $SHIB.X $XRP.X,Digital Assets & Crypto
1.58073E+18,1.144E+18,"🇺🇸 USD: $19,419
🇪🇺 EUR: €19,871 
🇬🇧 GBP: £17,170
🇨🇦 CAD: $26,649
🇦🇺 AUD: $30,852
🇯🇵 JPY:  ¥2,860,091

 #Bitcoin #BTC",Digital Assets & Crypto
1.58073E+18,1.53903E+18,RT @bmurphypointman: #Socialmedia #SSM #SEO #makemoney  #bitcoin #dogecoin #affiliatemarketing Check my website for my top recommended #tra…,Technology
1.58073E+18,1.53903E+18,RT @bmurphypointman: #Socialmedia #SSM #SEO #makemoney  #bitcoin #dogecoin #affiliatemarketing Check my website for my top recommended #tra…,Technology
1.58073E+18,1.57429E+18,"GM community 
#bitcoin   #altcoin #blockchain #crypto #presale #ICO #cryptoinvestors #bnb   #ftx #houbi #eth #vitalik #elonmusk #nft #sol #avax   #hex #ethkiller #nftcommunity https://t.co/dIFFkiA9FY",Digital Assets & Crypto
